jenis_makanan,manufacturer,serving_size,kalori,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,usia
herslim,Tidak Diketahui,2 g,10.0,13.0,13.0,1.5,2.0,120.0,2.0,5.58,21.67,4.0,2.24,8.0,0.0,8.0,22.0,0.0,0.0,0.0,7.0,75
indomie rasa kaldu ayam,PT. Indofood CBP Sukses Makmur Tbk.,4 g,110.0,6.0,50.0,12.0,0.0,980.0,4.0,15.81,10.0,15.38,17.91,65.33,45.0,66.0,0.0,0.0,0.0,18.0,0.0,30
papeda,Tidak Diketahui,0.10 g,61.0,0.2,14.9,0.1,0.0,4.0,0.5,2.84,0.33,4.58,0.15,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
"daun oyong, segar",Tidak Diketahui,0.60 g,22.0,1.0,5.3,0.1,0.0,40.0,0.0,1.02,1.67,1.63,0.15,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
the coffe bean & tea leaf pure chocolate ice blended drink,Tidak Diketahui,15 g,390.0,15.0,72.0,7.0,59.0,0.0,0.0,18.14,25.0,22.15,10.45,0.0,0.0,0.0,25.0,23.0,19.0,0.0,0.0,27
wrp everyday susu bubuk rasa choco hazelnut,Tidak Diketahui,5 g,110.0,5.0,21.0,1.0,0.0,35.0,0.0,5.12,8.33,6.46,1.49,2.33,0.0,0.0,9.0,7.0,6.0,0.0,0.0,27
ichi ocha,PT. Asahi Indofood Beverage Makmur,0 g,0.0,0.0,26.0,0.0,24.0,35.0,0.0,4.65,0.0,8.0,0.0,2.33,0.0,3.0,0.0,8.0,5.0,0.0,0.0,43
mr. p honey peanuts,PT. Mitrasatrya Perkasautama,7 g,150.0,7.0,5.0,12.0,3.0,0.0,0.0,6.98,11.67,1.54,17.91,0.0,0.0,0.0,12.0,0.0,7.0,18.0,0.0,71
suwir-suwir,Tidak Diketahui,1 g,347.0,0.5,84.2,0.9,0.0,0.0,0.8,16.14,0.83,25.91,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
"daun labu siam, segar",Tidak Diketahui,1.20 g,34.0,4.0,4.7,0.4,0.0,16.0,3.5,1.58,6.67,1.45,0.6,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
"uceng / bunga melinjo, segar",Tidak Diketahui,1.70 g,82.0,5.8,11.7,1.3,0.0,0.0,4.8,3.81,9.67,3.6,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
golden farm mixed vegetable,PT. Sukanda djaya,3 g,70.0,3.0,14.0,1.0,4.0,0.0,0.0,3.26,5.0,4.31,1.49,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,10
kue pelita,Tidak Diketahui,0.60 g,141.0,5.3,17.6,5.5,0.0,0.0,0.0,6.56,8.83,5.42,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
dairy queen chocolate dipped cone,Tidak Diketahui,1 g,460.0,9.0,59.0,22.0,43.0,0.0,1.0,21.4,15.0,18.15,32.84,0.0,0.0,0.0,0.0,19.0,22.0,33.0,0.0,68
"jeruk banjar, segar",Tidak Diketahui,0.40 g,61.0,0.8,14.1,0.2,0.0,3.0,5.4,2.84,1.33,4.34,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
"daun labu wuluh/kuning, segar",Tidak Diketahui,1.60 g,34.0,3.6,4.5,0.6,0.0,16.0,2.9,1.58,6.0,1.38,0.9,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
"ikan mayong, segar",Tidak Diketahui,1.50 g,97.0,17.9,0.4,2.0,0.0,0.0,0.0,4.51,29.83,0.12,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"ikan tarmon, segar",Tidak Diketahui,0.80 g,96.0,19.5,2.0,1.1,0.0,43.0,0.0,4.47,32.5,0.62,1.64,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
"soto jeroan, masakan",Tidak Diketahui,1.10 g,92.0,11.8,1.4,4.3,0.0,363.0,0.0,4.28,19.67,0.43,6.42,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
"tedong pallu basa, masakan",Tidak Diketahui,1.70 g,83.0,10.4,2.8,3.4,0.0,397.0,0.0,3.86,17.33,0.86,5.07,26.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
tepung ganyong,Tidak Diketahui,0.30 g,353.0,0.8,83.6,1.7,0.0,3.0,0.7,16.42,1.33,25.72,2.54,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
umbut rotan,Tidak Diketahui,1.30 g,34.0,2.4,5.5,0.3,0.0,8.0,2.2,1.58,4.0,1.69,0.45,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
"beras ladang, mentah",Tidak Diketahui,0.90 g,376.0,7.5,78.0,3.8,0.0,10.0,5.9,17.49,12.5,24.0,5.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
yogurt frozen pinkberry (kecil),Tidak Diketahui,0 g,150.0,6.0,31.0,0.0,30.0,0.0,0.0,6.98,10.0,9.54,0.0,0.0,0.0,0.0,10.0,10.0,7.0,0.0,0.0,76
golden farm corn kernel,PT. Sukanda djaya,3 g,70.0,3.0,14.0,1.0,3.0,0.0,0.0,3.26,5.0,4.31,1.49,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,62
"pempek telur, masakan",Tidak Diketahui,1.90 g,156.0,4.7,28.3,2.7,0.0,448.0,0.0,7.26,7.83,8.71,4.03,29.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
nutrisari florida orange,PT.Nutrifood indonesia,0 g,50.0,0.0,13.0,0.0,11.0,0.0,0.0,2.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,15
nutriboost rasa kopi,PT. Coca Cola Amatil,3 g,30.0,3.0,19.0,3.0,14.0,100.0,0.0,5.58,5.0,5.85,4.48,6.67,13.0,7.0,0.0,6.0,0.0,0.0,0.0,67
ultra sari kacang ijo,"PT. Ultrajaya Milk Industry, Tbk",2 g,90.0,2.0,22.0,0.0,0.0,0.0,0.0,4.19,3.33,6.77,0.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,0.0,23
quinoa,Tidak Diketahui,4.40 g,120.0,4.4,21.3,1.92,0.0,0.0,0.0,5.58,7.33,6.55,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
kacang tolo rebus,Tidak Diketahui,1.20 g,138.0,10.7,22.6,1.1,0.0,13.0,0.9,6.42,17.83,6.95,1.64,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
"lamtoro biji muda, segar",Tidak Diketahui,1.20 g,85.0,5.7,15.4,0.3,0.0,35.0,10.8,3.95,9.5,4.74,0.45,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
roma malkist,PT. Mayora Indah Tbk.,2 g,120.0,2.0,19.0,4.5,3.0,0.0,0.0,5.58,3.33,5.85,6.72,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,27
tahu bakso,Tidak Diketahui,2.40 g,231.0,11.8,21.4,12.2,1.2,378.0,2.4,10.74,19.67,6.58,18.21,25.2,0.0,26.0,20.0,0.0,0.0,19.0,0.0,49
sonice bakso kuah sapi,PT. So Good Food Manufacturing,8 g,160.0,8.0,20.0,5.0,0.0,0.0,0.0,7.44,13.33,6.15,7.46,0.0,0.0,0.0,14.0,0.0,8.0,8.0,0.0,70
"ayam goreng church texas, dada",Tidak Diketahui,1.50 g,338.0,35.2,0.4,20.6,0.0,800.0,0.0,15.72,58.67,0.12,30.75,53.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
saladstop tingtong,Tidak Diketahui,13.50 g,843.4,30.6,83.3,46.2,14.5,1004.6,13.5,39.23,51.0,25.63,68.96,66.97,0.0,67.0,51.0,0.0,0.0,69.0,0.0,39
takwa,Tidak Diketahui,1.60 g,148.0,13.8,4.0,8.5,0.0,3.0,0.0,6.88,23.0,1.23,12.69,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
monde boromon cookies original flavor,PT. Monde Mahkota Biskuit,0 g,80.0,0.0,18.0,0.0,0.0,10.0,0.0,3.72,0.0,5.54,0.0,0.67,0.0,1.0,0.0,6.0,4.0,0.0,0.0,80
keju lemnos grated parmesan,Tidak Diketahui,0 g,38.0,3.3,1.0,5.6,1.0,0.0,0.0,1.77,5.5,0.31,8.36,0.0,0.0,0.0,6.0,0.0,2.0,9.0,0.0,71
good day mocacinno,PT. Santos jaya abadi,1 g,20.0,1.0,16.0,2.0,13.0,10.0,1.0,4.19,1.67,4.92,2.99,0.67,10.0,0.0,0.0,5.0,5.0,0.0,0.0,71
kacang garuda roste kacang panggang,PT. GARUDAFOOD PUTRI JAYA,5 g,130.0,5.0,16.0,5.0,0.0,115.0,0.0,6.05,8.33,4.92,7.46,7.67,0.0,8.0,9.0,0.0,0.0,8.0,0.0,56
tepung tales banten,Tidak Diketahui,5.50 g,332.0,5.7,76.1,0.6,0.0,7.0,12.2,15.44,9.5,23.42,0.9,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
coklat toblerone,PT. Nirwana Lestari,1 g,130.0,1.0,15.0,7.0,15.0,0.0,0.0,6.05,1.67,4.62,10.45,0.0,0.0,0.0,0.0,5.0,7.0,11.0,0.0,55
es krim walls cappuccino,Tidak Diketahui,1 g,70.0,1.0,19.0,8.0,10.0,15.0,1.0,6.98,1.67,5.85,11.94,1.0,30.0,0.0,0.0,0.0,7.0,12.0,0.0,12
cashew,Tidak Diketahui,3.30 g,553.0,18.22,30.19,43.85,0.0,0.0,3.3,25.72,30.37,9.29,65.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"kucai muda (lokio), segar",Tidak Diketahui,1.80 g,42.0,3.8,7.8,0.6,0.0,22.0,4.9,1.95,6.33,2.4,0.9,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
"susu kuda, segar",Tidak Diketahui,0.40 g,40.0,2.0,5.4,1.1,0.0,0.0,0.0,1.86,3.33,1.66,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
eskrim cornetto oreo,PT. Andrawina Darma Manunggal Mulya,2 g,240.0,2.0,33.0,11.0,20.0,0.0,2.0,11.16,3.33,10.15,16.42,0.0,0.0,0.0,0.0,11.0,12.0,17.0,0.0,62
keripik qtela ubi ungu,PT. Indofood CBP Sukses Makmur Tbk.,0 g,100.0,0.0,14.0,5.0,3.0,0.0,0.0,4.65,0.0,4.31,7.46,0.0,0.0,0.0,0.0,5.0,5.0,8.0,0.0,20
"anak sapi, daging,sedang,segar",Tidak Diketahui,0.90 g,190.0,19.1,0.0,12.0,0.0,99.0,0.0,8.84,31.83,0.0,17.91,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
susu bear brand gold teh putih,PT. Nestle Indonesia,4 g,70.0,4.0,10.0,2.0,0.0,0.0,0.0,3.26,6.67,3.08,2.99,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,76
es teh tawar,Tidak Diketahui,0.02 g,2.0,0.02,0.67,0.0,0.0,0.0,0.0,0.09,0.03,0.21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20
susu tango kido rasa banana pudding,Tidak Diketahui,10 g,90.0,10.0,15.0,2.5,0.0,140.0,0.0,4.19,16.67,4.62,3.73,9.33,0.0,10.0,17.0,5.0,0.0,0.0,0.0,30
biskuit wrp everyday chocolate chip,PT.Nutrifood indonesia,2 g,100.0,1.0,11.0,5.0,0.0,0.0,2.0,4.65,1.67,3.38,7.46,0.0,0.0,0.0,0.0,0.0,5.0,8.0,7.0,30
ampas tahu mentah,Tidak Diketahui,0.60 g,67.0,5.0,8.1,2.1,0.0,8.0,4.1,3.12,8.33,2.49,3.13,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
"anyang, sayur",Tidak Diketahui,1.50 g,126.0,3.4,10.3,7.9,0.0,290.0,5.4,5.86,5.67,3.17,11.79,19.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
"ikan banjar, segar",Tidak Diketahui,1.40 g,111.0,19.4,4.8,0.9,0.0,99.0,0.0,5.16,32.33,1.48,1.34,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
misoa,Tidak Diketahui,1.30 g,345.0,8.5,78.0,2.2,0.0,3064.0,0.5,16.05,14.17,24.0,3.28,204.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
"ares,sayur",Tidak Diketahui,3 g,113.0,0.9,11.2,7.2,0.0,1413.0,4.7,5.26,1.5,3.45,10.75,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
biskuit lotte choco pie,PT. Lotte Indonesia,1 g,120.0,1.0,19.0,4.5,10.0,0.0,0.0,5.58,1.67,5.85,6.72,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,15
srikaya ketan,Tidak Diketahui,0.80 g,265.0,2.7,49.1,6.4,0.0,0.0,0.0,12.33,4.5,15.11,9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
dairy queen oreo cookie blizzard,Tidak Diketahui,1 g,780.0,15.0,117.0,29.0,84.0,0.0,1.0,36.28,25.0,36.0,43.28,0.0,0.0,0.0,0.0,36.0,37.0,44.0,0.0,72
puffies soes crunchy cheese,Tidak Diketahui,1 g,30.0,2.0,6.0,6.0,0.0,120.0,1.0,4.19,3.33,1.85,8.96,8.0,25.0,8.0,0.0,0.0,0.0,9.0,0.0,72
pocky double choco,PT. Glico Indonesia,4 g,240.0,4.0,29.0,12.0,9.0,0.0,0.0,11.16,6.67,8.92,17.91,0.0,0.0,0.0,0.0,9.0,12.0,18.0,0.0,13
mie sedap instan kari spesial,Tidak Diketahui,3 g,130.0,8.0,47.0,14.0,3.0,1060.0,3.0,16.28,13.33,14.46,20.9,70.67,0.0,71.0,0.0,0.0,0.0,0.0,0.0,34
jasjus rasa lemon,PT. Karunia Alam Segar,0 g,25.0,0.0,6.0,0.0,5.0,15.0,0.0,1.16,0.0,1.85,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,29
"telur ayam kampung, segar",Tidak Diketahui,0.90 g,174.0,10.8,1.2,14.0,0.0,190.0,0.0,8.09,18.0,0.37,20.9,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
sagu rendang,Tidak Diketahui,1 g,364.0,0.1,90.5,0.2,0.0,42.0,1.9,16.93,0.17,27.85,0.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
silverqueen crispy with milk chocolate,PT. Perusahaan Industri Ceres,4 g,170.0,4.0,15.0,10.0,11.0,35.0,0.0,7.91,6.67,4.62,14.93,2.33,0.0,0.0,7.0,0.0,8.0,15.0,0.0,28
sukun tua,Tidak Diketahui,1 g,126.0,1.6,24.5,0.2,0.0,25.0,1.5,5.86,2.67,7.54,0.3,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
"kacang belimbing (kecipir), kering",Tidak Diketahui,4.20 g,400.0,34.4,34.1,16.9,0.0,37.0,10.7,18.6,57.33,10.49,25.22,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
lapis legit,Tidak Diketahui,0.90 g,389.0,6.6,55.5,15.7,0.0,0.0,0.5,18.09,11.0,17.08,23.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
"wijen,mentah",Tidak Diketahui,5.80 g,568.0,19.3,18.1,51.1,0.0,18.0,3.6,26.42,32.17,5.57,76.27,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
susu ultra milk rasa stroberi,"PT. Ultrajaya Milk Industry, Tbk",6 g,30.0,6.0,22.0,3.5,17.0,50.0,0.0,6.51,10.0,6.77,5.22,3.33,13.0,0.0,10.0,0.0,0.0,0.0,0.0,69
agar-agar double swallow sun,Tidak Diketahui,6 g,25.0,0.0,6.0,0.0,0.0,10.0,6.0,1.16,0.0,1.85,0.0,0.67,0.0,1.0,0.0,2.0,2.0,0.0,0.0,53
cocoa powder van houten,PT. Ceres Bandung,6 g,120.0,6.0,15.0,4.0,0.0,0.0,0.0,5.58,10.0,4.62,5.97,0.0,0.0,0.0,10.0,0.0,6.0,6.0,0.0,25
"jambu bool, segar",Tidak Diketahui,0.80 g,49.0,2.3,9.6,0.2,0.0,1.0,3.5,2.28,3.83,2.95,0.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
tiwul,Tidak Diketahui,1.60 g,353.0,2.4,83.4,1.1,0.0,5.0,6.5,16.42,4.0,25.66,1.64,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
nissin longer stick biscuits,Tidak Diketahui,2 g,50.0,2.0,21.0,6.0,5.0,85.0,0.0,6.98,3.33,6.46,8.96,5.67,20.0,0.0,0.0,0.0,7.0,9.0,0.0,60
nasi coklat,Tidak Diketahui,2.30 g,112.0,2.3,23.5,0.8,0.0,0.0,0.0,5.21,3.83,7.23,1.19,0.0,0.0,0.0,4.0,8.0,6.0,0.0,0.0,45
chicki taro net rasa bbq,PT. Putra Taro Paloma,1 g,90.0,1.0,15.0,2.5,0.0,200.0,0.0,4.19,1.67,4.62,3.73,13.33,0.0,14.0,0.0,5.0,5.0,0.0,0.0,23
saladstop jai ho,Tidak Diketahui,7.10 g,324.9,22.3,28.3,14.3,8.4,355.3,7.1,15.11,37.17,8.71,21.34,23.69,0.0,24.0,38.0,0.0,0.0,0.0,24.0,41
chocodrink,PT. Karunia Alam Segar,2 g,20.0,2.0,23.0,2.5,18.0,100.0,0.0,5.58,3.33,7.08,3.73,6.67,0.0,7.0,0.0,8.0,6.0,0.0,0.0,17
"asam masak pohon, segar",Tidak Diketahui,2.70 g,267.0,2.8,62.5,0.6,0.0,9.0,1.2,12.42,4.67,19.23,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
bayam rebus,Tidak Diketahui,1 g,23.0,1.2,3.7,0.6,0.0,16.0,1.1,1.07,2.0,1.14,0.9,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
"kelio telur, masakan",Tidak Diketahui,1.40 g,193.0,10.6,9.7,12.4,0.0,540.0,0.0,8.98,17.67,2.98,18.51,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
tahu,Tidak Diketahui,1.40 g,80.0,10.9,0.8,4.7,0.0,2.0,0.1,3.72,18.17,0.25,7.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
sariroti roti tawar double soft,PT. Nippon Indosari corporindo Tbk,3 g,140.0,4.0,23.0,3.0,1.0,105.0,3.0,6.51,6.67,7.08,4.48,7.0,0.0,7.0,0.0,8.0,0.0,0.0,10.0,27
mcdonald triple cheeseburger,PT.Rekso Nasional Food,2 g,520.0,32.0,36.0,28.0,7.0,0.0,2.0,24.19,53.33,11.08,41.79,0.0,0.0,0.0,54.0,0.0,25.0,42.0,0.0,19
sagu singkong kering,Tidak Diketahui,0.30 g,362.0,0.5,86.9,0.3,0.0,0.0,0.0,16.84,0.83,26.74,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
indomie hype abis seblak hot jeletot,Tidak Diketahui,7 g,360.0,7.0,44.0,17.0,0.0,1190.0,0.0,16.74,11.67,13.54,25.37,79.33,0.0,80.0,0.0,0.0,17.0,26.0,0.0,77
monde boromon cookies milk flavour,PT. Monde Mahkota Biskuit,0 g,0.0,0.0,18.0,0.0,5.0,10.0,0.0,3.72,0.0,5.54,0.0,0.67,0.0,0.0,0.0,6.0,0.0,0.0,0.0,73
frisian flag belgian chocolate low fat,PT. Frisian Flag Indonesia,7 g,150.0,7.0,25.0,2.5,19.0,100.0,0.0,6.98,11.67,7.69,3.73,6.67,0.0,0.0,12.0,8.0,7.0,0.0,0.0,65
subway classic tuna sandwich,Tidak Diketahui,2 g,470.0,20.0,41.0,25.0,5.0,0.0,2.0,21.86,33.33,12.62,37.31,0.0,0.0,0.0,34.0,0.0,22.0,38.0,0.0,14
eskrim magnum classic,PT. Andrawina Darma Manunggal Mulya,4 g,240.0,3.0,30.0,13.0,18.0,0.0,4.0,11.16,5.0,9.23,19.4,0.0,0.0,0.0,0.0,0.0,12.0,20.0,14.0,64
keripik tempe,Tidak Diketahui,2.30 g,581.0,12.1,41.7,40.6,0.0,0.0,2.2,27.02,20.17,12.83,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
susu bubuk,Tidak Diketahui,5.70 g,513.0,24.6,36.2,30.0,0.0,380.0,0.0,23.86,41.0,11.14,44.78,25.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
"jangang bintatoeng, masakan",Tidak Diketahui,2.40 g,107.0,5.3,16.5,2.2,0.0,482.0,0.0,4.98,8.83,5.08,3.28,32.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
golden farm french fries,PT. Sukanda djaya,3 g,170.0,3.0,29.0,4.5,0.0,0.0,0.0,7.91,5.0,8.92,6.72,0.0,0.0,0.0,0.0,9.0,8.0,7.0,0.0,18
"telur ayam ras bagian kuning, segar",Tidak Diketahui,1.70 g,355.0,16.3,0.7,31.9,0.0,111.0,0.0,16.51,27.17,0.22,47.61,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
"ayam,hati,segar",Tidak Diketahui,1.50 g,261.0,27.4,1.6,16.1,0.0,1068.0,0.0,12.14,45.67,0.49,24.03,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
bakso ikan,Tidak Diketahui,11.27 g,107.0,11.27,11.72,1.23,0.0,255.0,0.0,4.98,18.78,3.61,1.84,17.0,0.0,17.0,19.0,0.0,5.0,0.0,0.0,36
yogurt frozen pinkberry (medium),Tidak Diketahui,0 g,240.0,9.0,50.0,0.0,47.0,0.0,0.0,11.16,15.0,15.38,0.0,0.0,0.0,0.0,15.0,16.0,12.0,0.0,0.0,48
pronas classic chunky corned beef (340 g),PT. CANNING INDONESIAN PRODUCTS,2 g,70.0,8.0,2.0,3.5,0.0,410.0,2.0,3.26,13.33,0.62,5.22,27.33,8.0,28.0,14.0,0.0,0.0,0.0,0.0,72
sayur lebui,Tidak Diketahui,0.90 g,64.0,2.1,12.5,0.6,0.0,124.0,5.7,2.98,3.5,3.85,0.9,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
indomie rasa soto lamongan,PT. Indofood CBP Sukses Makmur Tbk.,6 g,130.0,10.0,48.0,14.0,4.0,1030.0,6.0,16.74,16.67,14.77,20.9,68.67,35.0,69.0,0.0,0.0,0.0,21.0,0.0,39
"jali, mentah",Tidak Diketahui,1 g,324.0,11.0,61.0,4.0,0.0,24.0,3.1,15.07,18.33,18.77,5.97,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
elle vire yogurt,PT. Sukanda djaya,0.40 g,90.0,2.3,13.0,3.1,11.0,0.0,0.4,4.19,3.83,4.0,4.63,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,79
markisa squash,Tidak Diketahui,0.20 g,217.0,2.5,49.6,1.0,0.0,14.0,0.0,10.09,4.17,15.26,1.49,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
putu sopa,Tidak Diketahui,0.80 g,215.0,3.3,41.1,4.1,0.0,0.0,0.0,10.0,5.5,12.65,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
pop mie rasa soto ayam dengan nasi,PT. Indofood CBP Sukses Makmur Tbk.,3 g,250.0,7.0,48.0,15.0,5.0,1320.0,3.0,11.63,11.67,14.77,22.39,88.0,0.0,88.0,0.0,15.0,0.0,23.0,0.0,57
geblek,Tidak Diketahui,1.40 g,195.0,0.4,44.4,1.7,0.0,353.0,3.6,9.07,0.67,13.66,2.54,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
agar-agar swallow globe brand,Tidak Diketahui,8 g,20.0,0.0,8.0,0.0,0.0,0.0,8.0,0.93,0.0,2.46,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,79
permen xylitol fresh mint,Tidak Diketahui,0 g,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.47,0.0,0.92,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49
"gambas (oyong), segar",Tidak Diketahui,0.40 g,19.0,0.8,4.1,0.2,0.0,23.0,1.3,0.88,1.33,1.26,0.3,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
nasi tim,Tidak Diketahui,0.20 g,120.0,3.4,26.0,0.4,0.0,0.0,0.5,5.58,5.67,8.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
"sei reuboh, masakan",Tidak Diketahui,2.20 g,474.0,11.2,11.7,42.5,0.0,677.0,0.0,22.05,18.67,3.6,63.43,45.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
buah merah,Tidak Diketahui,0.40 g,87.0,2.6,13.1,2.7,0.0,110.0,4.0,4.05,4.33,4.03,4.03,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
subway steak and cheese sandwich,Tidak Diketahui,2 g,360.0,24.0,43.0,10.0,5.0,0.0,2.0,16.74,40.0,13.23,14.93,0.0,0.0,0.0,40.0,0.0,17.0,15.0,0.0,52
"beras hitam, mentah",Tidak Diketahui,0.90 g,351.0,8.0,76.9,1.3,0.0,15.0,20.1,16.33,13.33,23.66,1.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
"apang kukus, kue",Tidak Diketahui,0.50 g,202.0,3.0,46.7,0.3,0.0,0.0,0.0,9.4,5.0,14.37,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
"talas viqueque, segar",Tidak Diketahui,1.20 g,115.0,1.8,25.9,0.5,0.0,1.0,8.6,5.35,3.0,7.97,0.75,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
indofood kecap manis (135 ml),Tidak Diketahui,0 g,45.0,0.0,11.0,0.0,9.0,240.0,0.0,2.09,0.0,3.38,0.0,16.0,0.0,16.0,0.0,4.0,3.0,0.0,0.0,59
tanderloin,Tidak Diketahui,20.53 g,151.0,20.53,0.01,7.63,0.0,0.0,0.0,7.02,34.22,0.0,11.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
golden farm frozen pea,PT. Sukanda djaya,7 g,90.0,7.0,12.0,1.0,3.0,0.0,0.0,4.19,11.67,3.69,1.49,0.0,0.0,0.0,12.0,4.0,5.0,0.0,0.0,70
white anchovy powder,Tidak Diketahui,3 g,15.0,3.0,0.0,0.0,0.0,70.0,0.0,0.7,5.0,0.0,0.0,4.67,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12
beef yakiniku,Tidak Diketahui,0.80 g,132.0,9.8,20.7,1.1,0.0,409.0,0.3,6.14,16.33,6.37,1.64,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
"asam arang coklat, segar",Tidak Diketahui,1.40 g,130.0,0.5,30.9,1.1,0.0,13.0,1.5,6.05,0.83,9.51,1.64,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
mie sedaap instant rasa soto 75 g,PT. Karunia Alam Segar,2 g,340.0,8.0,46.0,13.0,3.0,1030.0,2.0,15.81,13.33,14.15,19.4,68.67,30.0,69.0,0.0,0.0,0.0,20.0,0.0,33
